# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
AWTEventQueue.eventsDispatched,1708450563126000000,1708450623135000000,3113
FlushQueue.executionTime90PNs,1708450563126000000,1708450623135000000,573439
AWTEventQueue.dispatchTimeTotalNS,1708450563126000000,1708450623135000000,6999137512
NonBlockingReadAction.failedExecutionsCount,1708450563126000000,1708450623135000000,4
FlushQueue.queueSizeAvg,1708450563126000000,1708450623135000000,10.80525238744884
FlushQueue.executionTimeMaxNs,1708450563126000000,1708450623135000000,375390207
NonBlockingReadAction.failedExecutionTimeUs,1708450563126000000,1708450623135000000,44101
ReadAction.executionsCount,1708450563126000000,1708450623135000000,144796
FlushQueue.queueSize90P,1708450563126000000,1708450623135000000,36
FlushQueue.waitingTime90PNs,1708450563126000000,1708450623135000000,192937983
FlushQueue.queueSizeMax,1708450563126000000,1708450623135000000,71
FlushQueue.waitingTimeMaxNs,1708450563126000000,1708450623135000000,713031679
FlushQueue.tasksExecuted,1708450563126000000,1708450623135000000,2932
FlushQueue.executionTimeAvgNs,1708450563126000000,1708450623135000000,1171235.4529331515
WriteAction.executionsCount,1708450563126000000,1708450623135000000,26
NonBlockingReadAction.finalizedExecutionsCount,1708450563126000000,1708450623135000000,480
AWTEventQueue.dispatchTime90PNs,1708450563126000000,1708450623135000000,2670591
NonBlockingReadAction.finalizedExecutionTimeUs,1708450563126000000,1708450623135000000,2353985
AWTEventQueue.dispatchTimeMaxNs,1708450563126000000,1708450623135000000,377487359
FlushQueue.waitingTimeAvgNs,1708450563126000000,1708450623135000000,4.799828059481583E7
AWTEventQueue.dispatchTimeAvgNs,1708450563126000000,1708450623135000000,2247522.806296177
workspaceModel.init.bridges.ms,1708450563126000000,1708450623135000000,1
workspaceModel.pre.handlers.ms,1708450563126000000,1708450623135000000,2
workspaceModel.update.unloaded.entities.ms,1708450563126000000,1708450623135000000,0
workspaceModel.updates.count,1708450563126000000,1708450623135000000,4
workspaceModel.updates.precise.ms,1708450563126000000,1708450623135000000,33
workspaceModel.updates.ms,1708450563126000000,1708450623135000000,103
workspaceModel.replace.project.model.ms,1708450563126000000,1708450623135000000,0
workspaceModel.check.recursive.update.ms,1708450563126000000,1708450623135000000,0
workspaceModel.to.snapshot.ms,1708450563126000000,1708450623135000000,2
workspaceModel.loading.from.cache.ms,1708450563126000000,1708450623135000000,183
workspaceModel.collect.changes.ms,1708450563126000000,1708450623135000000,0
workspaceModel.loading.total.ms,1708450563126000000,1708450623135000000,200
workspaceModel.initializing.ms,1708450563126000000,1708450623135000000,1
Indexes.stubs.lookupDurationMaxMs,1708450623135000000,1708450683134000000,0.0
Indexes.stubs.lookupDurationAvgMs,1708450623135000000,1708450683134000000,0.0
Indexes.allKeys.lookupDurationMaxMs,1708450623135000000,1708450683134000000,0.0
Indexes.entries.lookupDuration90PMs,1708450623135000000,1708450683134000000,0.0
Indexes.stubs.lookupDuration90PMs,1708450623135000000,1708450683134000000,0.0
Indexes.entries.lookupDurationMaxMs,1708450623135000000,1708450683134000000,0.0
Indexes.allKeys.lookupDurationAvgMs,1708450623135000000,1708450683134000000,0.0
Indexes.entries.lookups,1708450623135000000,1708450683134000000,0.0
IndexesFlusher.totalContentionQuotaSpent,1708450623135000000,1708450683134000000,0
IndexesFlusher.totalFlushesRetried,1708450623135000000,1708450683134000000,0
IndexesFlusher.totalFlushingTimeUs,1708450623135000000,1708450683134000000,106711
Indexes.stubs.lookups,1708450623135000000,1708450683134000000,1.0
Indexes.allKeys.lookupDuration90PMs,1708450623135000000,1708450683134000000,0.0
Indexes.entries.lookupDurationAvgMs,1708450623135000000,1708450683134000000,0.0
Indexes.allKeys.lookups,1708450623135000000,1708450683134000000,0.0
IndexesFlusher.totalFlushes,1708450623135000000,1708450683134000000,59
JVM.usedNativeBytes,1708450623135000000,1708450683134000000,406052864
JVM.usedHeapBytes,1708450623135000000,1708450683134000000,378535936
JVM.GC.collectionTimesMs,1708450623135000000,1708450683134000000,0
JVM.threadCount,1708450623135000000,1708450683134000000,58
JVM.maxNativeBytes,1708450623135000000,1708450683134000000,-1
JVM.GC.collections,1708450623135000000,1708450683134000000,0
JVM.totalBytesAllocated,1708450623135000000,1708450683134000000,31425080
JVM.totalCpuTimeMs,1708450623135000000,1708450683134000000,2720
OS.loadAverage,1708450623135000000,1708450683134000000,1.14208984375
JVM.maxHeapBytes,1708450623135000000,1708450683134000000,2147483648
jps.project.serializers.save.ms,1708450623135000000,1708450683134000000,1
jps.app.storage.content.reader.load.component.ms,1708450623135000000,1708450683134000000,0
jps.library.entities.serializer.save.entities.ms,1708450623135000000,1708450683134000000,0
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1708450623135000000,1708450683134000000,0
workspaceModel.moduleManagerBridge.create.module.instance.ms,1708450623135000000,1708450683134000000,0
jps.facet.change.listener.before.change.events.ms,1708450623135000000,1708450683134000000,0
workspaceModel.moduleManagerBridge.load.all.modules.ms,1708450623135000000,1708450683134000000,55
workspaceModel.moduleBridge.before.changed.ms,1708450623135000000,1708450683134000000,0
jps.app.storage.content.writer.save.component.ms,1708450623135000000,1708450683134000000,0
workspaceModel.mutableEntityStorage.entities.by.source.ms,1708450623135000000,1708450683134000000,0
jps.global.initialize.library.bridges.after.loading.ms,1708450623135000000,1708450683134000000,0
jps.save.changed.project.entities.ms,1708450623135000000,1708450683134000000,1
workspaceModel.mutableEntityStorage.collect.changes.ms,1708450623135000000,1708450683134000000,1
workspaceModel.moduleBridge.update.option.ms,1708450623135000000,1708450683134000000,0
workspaceModel.global.updates.count,1708450623135000000,1708450683134000000,0
jps.apply.loaded.storage.ms,1708450623135000000,1708450683134000000,121
workspaceModel.mutableEntityStorage.put.entity.ms,1708450623135000000,1708450683134000000,7
workspaceModel.moduleBridge.facet.initialization.ms,1708450623135000000,1708450683134000000,1
workspaceModel.mutableEntityStorage.has.same.entities.ms,1708450623135000000,1708450683134000000,0
workspaceModel.save.cache.to.file.ms,1708450623135000000,1708450683134000000,33
jps.module.iml.entities.serializer.save.entities.ms,1708450623135000000,1708450683134000000,0
jps.global.get.library.ms,1708450623135000000,1708450683134000000,0
jps.library.entities.serializer.load.entities.ms,1708450623135000000,1708450683134000000,7
jps.global.handle.changed.events.ms,1708450623135000000,1708450683134000000,0
jps.project.serializers.load.ms,1708450623135000000,1708450683134000000,36
workspaceModel.global.apply.state.to.project.ms,1708450623135000000,1708450683134000000,40
workspaceModel.moduleManagerBridge.get.modules.ms,1708450623135000000,1708450683134000000,1
jps.facet.change.listener.process.change.events.ms,1708450623135000000,1708450683134000000,0
workspaceModel.global.updates.ms,1708450623135000000,1708450683134000000,0
jps.save.global.entities.ms,1708450623135000000,1708450683134000000,1
workspaceModel.moduleBridgeLoader.loading.modules.ms,1708450623135000000,1708450683134000000,574
jps.reload.project.entities.ms,1708450623135000000,1708450683134000000,0
workspaceModel.mutableEntityStorage.to.snapshot.ms,1708450623135000000,1708450683134000000,3
jps.artifact.entities.serializer.save.entities.ms,1708450623135000000,1708450683134000000,0
workspaceModel.mutableEntityStorage.add.diff.ms,1708450623135000000,1708450683134000000,11
workspaceModel.moduleManagerBridge.load.module.ms,1708450623135000000,1708450683134000000,0
workspaceModel.mutableEntityStorage.replace.by.source.ms,1708450623135000000,1708450683134000000,23
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1708450623135000000,1708450683134000000,0
workspaceModel.moduleManagerBridge.newModule.ms,1708450623135000000,1708450683134000000,0
jps.global.handle.before.change.events.ms,1708450623135000000,1708450683134000000,0
jps.artifact.entities.serializer.load.entities.ms,1708450623135000000,1708450683134000000,0
workspaceModel.global.apply.state.to.project.builder.ms,1708450623135000000,1708450683134000000,0
workspaceModel.mutableEntityStorage.entities.ms,1708450623135000000,1708450683134000000,0
jps.load.project.to.empty.storage.ms,1708450623135000000,1708450683134000000,74
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1708450623135000000,1708450683134000000,1
jps.global.get.library.by.name.ms,1708450623135000000,1708450683134000000,0
workspaceModel.sync.entities.ms,1708450623135000000,1708450683134000000,0
workspaceModel.mutableEntityStorage.modify.entity.ms,1708450623135000000,1708450683134000000,8
jps.module.iml.entities.serializer.load.entities.ms,1708450623135000000,1708450683134000000,17
jps.global.initialize.library.bridges.ms,1708450623135000000,1708450683134000000,0
workspaceModel.mutableEntityStorage.resolve.ms,1708450623135000000,1708450683134000000,0
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1708450623135000000,1708450683134000000,0
workspaceModel.delayed.project.synchronizer.sync.ms,1708450623135000000,1708450683134000000,201
jps.storage.jps.conf.reader.load.component.ms,1708450623135000000,1708450683134000000,10
workspaceModel.load.cache.metadata.from.file.ms,1708450623135000000,1708450683134000000,34
workspaceModel.mutableEntityStorage.add.entity.ms,1708450623135000000,1708450683134000000,24
workspaceModel.load.cache.from.file.ms,1708450623135000000,1708450683134000000,180
jps.facet.change.listener.init.bridge.ms,1708450623135000000,1708450683134000000,0
jps.global.get.libraries.ms,1708450623135000000,1708450683134000000,0
workspaceModel.mutableEntityStorage.remove.entity.ms,1708450623135000000,1708450683134000000,0
workspaceModel.orphan.listener.update.ms,1708450623135000000,1708450683134000000,2
workspaceModel.mutableEntityStorage.referrers.ms,1708450623135000000,1708450683134000000,0
jps.load.initial.state.ms,1708450623135000000,1708450683134000000,7
workspaceModel.moduleManagerBridge.build.module.graph.ms,1708450623135000000,1708450683134000000,2
StorageLockContext.competingThreads.90P,1708450623135000000,1708450683134000000,0
FilePageCacheLockFree.totalNativeBytesAllocated,1708450623135000000,1708450683134000000,0
MappedFileStorage.storages,1708450623135000000,1708450683134000000,14
FilePageCacheLockFree.housekeeperTurnsDone,1708450623135000000,1708450683134000000,120
DirectByteBufferAllocator.disposed,1708450623135000000,1708450683134000000,0
StorageLockContext.competingThreads.avg,1708450623135000000,1708450683134000000,0.0
FilePageCacheLockFree.totalPagesWritten,1708450623135000000,1708450683134000000,3
StreamlinedBlobStorage.recordsRelocated,1708450623135000000,1708450683134000000,0
FilePageCacheLockFree.totalPagesReadMs,1708450623135000000,1708450683134000000,0
FilePageCacheLockFree.totalPagesAllocated,1708450623135000000,1708450683134000000,0
StreamlinedBlobStorage.totalLiveRecordsCapacityBytes,1708450623135000000,1708450683134000000,0
FilePageCache.pageLoadsAboveSizeThreshold,1708450623135000000,1708450683134000000,0
FileChannelInterruptsRetryer.totalRetriedAttempts,1708450623135000000,1708450683134000000,0
FilePageCache.disposedBuffers,1708450623135000000,1708450683134000000,0
FilePageCacheLockFree.totalPagesWriteMs,1708450623135000000,1708450683134000000,0
FilePageCacheLockFree.totalPagesRequested,1708450623135000000,1708450683134000000,3
FilePageCacheLockFree.totalPagesHandedOver,1708450623135000000,1708450683134000000,0
FilePageCacheLockFree.heapBytesInUse,1708450623135000000,1708450683134000000,0
FilePageCacheLockFree.totalBytesRead,1708450623135000000,1708450683134000000,0
FilePageCacheLockFree.nativeBytesInUse,1708450623135000000,1708450683134000000,614400
FilePageCacheLockFree.totalNativeBytesReclaimed,1708450623135000000,1708450683134000000,0
MappedFileStorage.totalBytesMapped,1708450623135000000,1708450683134000000,128188416
FilePageCache.maxCacheSizeInBytes,1708450623135000000,1708450683134000000,285229056
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1708450623135000000,1708450683134000000,0
MappedFileStorage.totalPagesMapped,1708450623135000000,1708450683134000000,14
DirectByteBufferAllocator.hits,1708450623135000000,1708450683134000000,0
FilePageCache.pageHits,1708450623135000000,1708450683134000000,0
FilePageCacheLockFree.totalPagesReclaimed,1708450623135000000,1708450683134000000,0
FilePageCache.capacityInBytes,1708450623135000000,1708450683134000000,503316478
FilePageCache.pageFastCacheHits,1708450623135000000,1708450683134000000,12
MappedFileStorage.totalTimeSpentOnMappingUs,1708450623135000000,1708450683134000000,1684
FilePageCacheLockFree.totalClosedStoragesReclaimed,1708450623135000000,1708450683134000000,0
DirectByteBufferAllocator.reclaimed,1708450623135000000,1708450683134000000,0
FilePageCacheLockFree.totalHeapBytesAllocated,1708450623135000000,1708450683134000000,0
FilePageCacheLockFree.housekeeperTimeSpentMs,1708450623135000000,1708450683134000000,51
FilePageCache.totalPageLoadsUs,1708450623135000000,1708450683134000000,0
FilePageCache.totalPageDisposalsUs,1708450623135000000,1708450683134000000,0
StorageLockContext.competingThreads.max,1708450623135000000,1708450683134000000,0
FilePageCacheLockFree.totalPagesRequestsMs,1708450623135000000,1708450683134000000,0
FilePageCacheLockFree.totalBytesRequested,1708450623135000000,1708450683134000000,24576
DirectByteBufferAllocator.misses,1708450623135000000,1708450683134000000,0
FilePageCacheLockFree.housekeeperTurnsSkipped,1708450623135000000,1708450683134000000,54919
FilePageCache.uncachedFileAccess,1708450623135000000,1708450683134000000,0
StreamlinedBlobStorage.recordsDeleted,1708450623135000000,1708450683134000000,0
FilePageCacheLockFree.totalHeapBytesReclaimed,1708450623135000000,1708450683134000000,0
FilePageCacheLockFree.totalPageAllocationsWaited,1708450623135000000,1708450683134000000,0
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1708450623135000000,1708450683134000000,285843456
StreamlinedBlobStorage.recordsAllocated,1708450623135000000,1708450683134000000,0
FilePageCache.maxRegisteredFiles,1708450623135000000,1708450683134000000,610
FilePageCache.pageLoads,1708450623135000000,1708450683134000000,0
StreamlinedBlobStorage.totalLiveRecordsPayloadBytes,1708450623135000000,1708450683134000000,0
FilePageCacheLockFree.totalBytesWritten,1708450623135000000,1708450683134000000,14393
FileNameCache.totalMisses,1708450623135000000,1708450683134000000,0
FileNameCache.queries,1708450623135000000,1708450683134000000,14
AWTEventQueue.eventsDispatched,1708450623135000000,1708450683134000000,258
FlushQueue.executionTime90PNs,1708450623135000000,1708450683134000000,60927
AWTEventQueue.dispatchTimeTotalNS,1708450623135000000,1708450683134000000,46832831
NonBlockingReadAction.failedExecutionsCount,1708450623135000000,1708450683134000000,0
FlushQueue.queueSizeAvg,1708450623135000000,1708450683134000000,0.6514084507042254
FlushQueue.executionTimeMaxNs,1708450623135000000,1708450683134000000,868351
NonBlockingReadAction.failedExecutionTimeUs,1708450623135000000,1708450683134000000,0
ReadAction.executionsCount,1708450623135000000,1708450683134000000,138
FlushQueue.queueSize90P,1708450623135000000,1708450683134000000,4
FlushQueue.waitingTime90PNs,1708450623135000000,1708450683134000000,337919
FlushQueue.queueSizeMax,1708450623135000000,1708450683134000000,10
FlushQueue.waitingTimeMaxNs,1708450623135000000,1708450683134000000,2506751
FlushQueue.tasksExecuted,1708450623135000000,1708450683134000000,284
FlushQueue.executionTimeAvgNs,1708450623135000000,1708450683134000000,39837.80281690141
WriteAction.executionsCount,1708450623135000000,1708450683134000000,0
NonBlockingReadAction.finalizedExecutionsCount,1708450623135000000,1708450683134000000,2
AWTEventQueue.dispatchTime90PNs,1708450623135000000,1708450683134000000,210943
NonBlockingReadAction.finalizedExecutionTimeUs,1708450623135000000,1708450683134000000,2323
AWTEventQueue.dispatchTimeMaxNs,1708450623135000000,1708450683134000000,3407871
FlushQueue.waitingTimeAvgNs,1708450623135000000,1708450683134000000,268652.23943661974
AWTEventQueue.dispatchTimeAvgNs,1708450623135000000,1708450683134000000,181527.44186046513
workspaceModel.init.bridges.ms,1708450623135000000,1708450683134000000,1
workspaceModel.pre.handlers.ms,1708450623135000000,1708450683134000000,2
workspaceModel.update.unloaded.entities.ms,1708450623135000000,1708450683134000000,0
workspaceModel.updates.count,1708450623135000000,1708450683134000000,4
workspaceModel.updates.precise.ms,1708450623135000000,1708450683134000000,33
workspaceModel.updates.ms,1708450623135000000,1708450683134000000,103
workspaceModel.replace.project.model.ms,1708450623135000000,1708450683134000000,0
workspaceModel.check.recursive.update.ms,1708450623135000000,1708450683134000000,0
workspaceModel.to.snapshot.ms,1708450623135000000,1708450683134000000,2
workspaceModel.loading.from.cache.ms,1708450623135000000,1708450683134000000,183
workspaceModel.collect.changes.ms,1708450623135000000,1708450683134000000,0
workspaceModel.loading.total.ms,1708450623135000000,1708450683134000000,200
workspaceModel.initializing.ms,1708450623135000000,1708450683134000000,1
Indexes.stubs.lookupDurationMaxMs,1708450683134000000,1708450743134000000,0.0
